id,worker_id,action,timestamp,location_id,work_id,worker_profession
70,4,Clock Out,2024-10-05T15:04:00,4.0,34.0,Assembler
71,5,Clock In,2024-10-05T08:13:00,,,Assembler
72,5,Clock Out,2024-10-05T18:13:00,7.0,30.0,Assembler
73,6,Clock In,2024-10-05T08:27:00,,,Slinger
74,6,Clock Out,2024-10-05T15:27:00,1.0,33.0,Slinger
75,7,Clock In,2024-10-05T08:19:00,,,Assembler
76,7,Clock Out,2024-10-05T16:19:00,6.0,1.0,Assembler
77,8,Clock In,2024-10-05T08:04:00,,,Assembler
78,8,Clock Out,2024-10-05T16:04:00,1.0,30.0,Assembler
79,9,Clock In,2024-10-05T08:02:00,,,Shuttering Carpenter
80,9,Clock Out,2024-10-05T17:02:00,4.0,27.0,Shuttering Carpenter
81,10,Clock In,2024-10-05T08:27:00,,,Steel Fixer
82,10,Clock Out,2024-10-05T16:27:00,4.0,21.0,Steel Fixer
83,11,Clock In,2024-10-05T08:03:00,,,Site Manager
84,11,Clock Out,2024-10-05T16:03:00,1.0,13.0,Site Manager
85,1,Clock In,2024-10-06T08:05:00,,,Shuttering Carpenter
86,1,Clock Out,2024-10-06T17:05:00,4.0,7.0,Shuttering Carpenter
87,2,Clock In,2024-10-06T08:03:00,,,Slinger
88,2,Clock Out,2024-10-06T18:03:00,3.0,30.0,Slinger
89,3,Clock In,2024-10-06T08:27:00,,,Assembler
90,3,Clock Out,2024-10-06T16:27:00,3.0,9.0,Assembler
91,5,Clock In,2024-10-06T08:15:00,,,Assembler
92,5,Clock Out,2024-10-06T18:15:00,7.0,33.0,Assembler
93,6,Clock In,2024-10-06T08:26:00,,,Slinger
94,6,Clock Out,2024-10-06T18:26:00,5.0,42.0,Slinger
95,7,Clock In,2024-10-06T08:09:00,,,Assembler
96,7,Clock Out,2024-10-06T16:09:00,2.0,2.0,Assembler
97,8,Clock In,2024-10-06T08:24:00,,,Assembler
98,8,Clock Out,2024-10-06T15:24:00,5.0,37.0,Assembler
99,9,Clock In,2024-10-06T08:28:00,,,Shuttering Carpenter
100,9,Clock Out,2024-10-06T15:28:00,2.0,12.0,Shuttering Carpenter
101,10,Clock In,2024-10-06T08:20:00,,,Steel Fixer
102,10,Clock Out,2024-10-06T16:20:00,2.0,21.0,Steel Fixer
103,11,Clock In,2024-10-06T08:24:00,,,Site Manager
104,11,Clock Out,2024-10-06T18:24:00,2.0,30.0,Site Manager
105,1,Clock In,2024-10-07T08:06:00,,,Shuttering Carpenter
106,1,Clock Out,2024-10-07T17:06:00,3.0,8.0,Shuttering Carpenter
107,2,Clock In,2024-10-07T08:29:00,,,Slinger
108,2,Clock Out,2024-10-07T17:29:00,6.0,25.0,Slinger
109,3,Clock In,2024-10-07T08:09:00,,,Assembler
110,3,Clock Out,2024-10-07T17:09:00,2.0,42.0,Assembler
111,4,Clock In,2024-10-07T08:04:00,,,Assembler
112,4,Clock Out,2024-10-07T18:04:00,5.0,10.0,Assembler
113,5,Clock In,2024-10-07T08:23:00,,,Assembler
114,5,Clock Out,2024-10-07T17:23:00,4.0,16.0,Assembler
115,6,Clock In,2024-10-07T08:17:00,,,Slinger
116,6,Clock Out,2024-10-07T17:17:00,2.0,18.0,Slinger
117,7,Clock In,2024-10-07T08:14:00,,,Assembler
118,7,Clock Out,2024-10-07T17:14:00,4.0,41.0,Assembler
119,8,Clock In,2024-10-07T08:29:00,,,Assembler
120,8,Clock Out,2024-10-07T15:29:00,2.0,30.0,Assembler
121,9,Clock In,2024-10-07T08:11:00,,,Shuttering Carpenter
122,9,Clock Out,2024-10-07T18:11:00,4.0,26.0,Shuttering Carpenter
123,10,Clock In,2024-10-07T08:12:00,,,Steel Fixer
124,10,Clock Out,2024-10-07T18:12:00,2.0,6.0,Steel Fixer
125,11,Clock In,2024-10-07T08:05:00,,,Site Manager
126,11,Clock Out,2024-10-07T16:05:00,1.0,24.0,Site Manager
127,1,Clock In,2024-10-08T08:12:00,,,Shuttering Carpenter
128,1,Clock Out,2024-10-08T17:12:00,3.0,14.0,Shuttering Carpenter
129,2,Clock In,2024-10-08T08:02:00,,,Slinger
130,2,Clock Out,2024-10-08T15:02:00,7.0,3.0,Slinger
131,3,Clock In,2024-10-08T08:18:00,,,Assembler
132,3,Clock Out,2024-10-08T16:18:00,5.0,41.0,Assembler
133,4,Clock In,2024-10-08T08:27:00,,,Assembler
134,4,Clock Out,2024-10-08T18:27:00,1.0,14.0,Assembler
135,5,Clock In,2024-10-08T08:14:00,,,Assembler
136,5,Clock Out,2024-10-08T15:14:00,1.0,41.0,Assembler
137,6,Clock In,2024-10-08T08:12:00,,,Slinger
138,6,Clock Out,2024-10-08T16:12:00,6.0,16.0,Slinger
139,7,Clock In,2024-10-08T08:20:00,,,Assembler
140,7,Clock Out,2024-10-08T15:20:00,6.0,15.0,Assembler
141,8,Clock In,2024-10-08T08:18:00,,,Assembler
142,8,Clock Out,2024-10-08T16:18:00,3.0,16.0,Assembler
143,9,Clock In,2024-10-08T08:04:00,,,Shuttering Carpenter
144,9,Clock Out,2024-10-08T18:04:00,2.0,36.0,Shuttering Carpenter
145,11,Clock In,2024-10-08T08:14:00,,,Site Manager
146,11,Clock Out,2024-10-08T18:14:00,2.0,38.0,Site Manager
147,1,Clock In,2024-10-09T08:18:00,,,Shuttering Carpenter
148,1,Clock Out,2024-10-09T17:18:00,1.0,28.0,Shuttering Carpenter
149,3,Clock In,2024-10-09T08:05:00,,,Assembler
150,3,Clock Out,2024-10-09T16:05:00,7.0,34.0,Assembler
151,5,Clock In,2024-10-09T08:20:00,,,Assembler
152,5,Clock Out,2024-10-09T17:20:00,7.0,31.0,Assembler
153,6,Clock In,2024-10-09T08:24:00,,,Slinger
154,6,Clock Out,2024-10-09T16:24:00,7.0,13.0,Slinger
155,7,Clock In,2024-10-09T08:28:00,,,Assembler
156,7,Clock Out,2024-10-09T18:28:00,7.0,30.0,Assembler
157,8,Clock In,2024-10-09T08:02:00,,,Assembler
158,8,Clock Out,2024-10-09T15:02:00,4.0,40.0,Assembler
159,9,Clock In,2024-10-09T08:04:00,,,Shuttering Carpenter
160,9,Clock Out,2024-10-09T15:04:00,6.0,16.0,Shuttering Carpenter
161,10,Clock In,2024-10-09T08:17:00,,,Steel Fixer
162,10,Clock Out,2024-10-09T16:17:00,5.0,5.0,Steel Fixer
163,11,Clock In,2024-10-09T08:01:00,,,Site Manager
164,11,Clock Out,2024-10-09T18:01:00,5.0,8.0,Site Manager
165,1,Clock In,2024-10-10T08:05:00,,,Shuttering Carpenter
166,1,Clock Out,2024-10-10T17:05:00,2.0,28.0,Shuttering Carpenter
167,3,Clock In,2024-10-10T08:24:00,,,Assembler
168,3,Clock Out,2024-10-10T17:24:00,6.0,30.0,Assembler
169,4,Clock In,2024-10-10T08:23:00,,,Assembler
170,4,Clock Out,2024-10-10T18:23:00,7.0,41.0,Assembler
171,5,Clock In,2024-10-10T08:03:00,,,Assembler
172,5,Clock Out,2024-10-10T15:03:00,5.0,32.0,Assembler
173,7,Clock In,2024-10-10T08:05:00,,,Assembler
174,7,Clock Out,2024-10-10T15:05:00,6.0,25.0,Assembler
175,9,Clock In,2024-10-10T08:13:00,,,Shuttering Carpenter
176,9,Clock Out,2024-10-10T17:13:00,5.0,12.0,Shuttering Carpenter
177,10,Clock In,2024-10-10T08:11:00,,,Steel Fixer
178,10,Clock Out,2024-10-10T16:11:00,2.0,24.0,Steel Fixer
179,11,Clock In,2024-10-10T08:28:00,,,Site Manager
180,11,Clock Out,2024-10-10T17:28:00,7.0,19.0,Site Manager
181,1,Clock In,2024-10-11T08:03:00,,,Shuttering Carpenter
182,1,Clock Out,2024-10-11T15:03:00,1.0,28.0,Shuttering Carpenter
183,2,Clock In,2024-10-11T08:15:00,,,Slinger
184,2,Clock Out,2024-10-11T18:15:00,5.0,36.0,Slinger
185,3,Clock In,2024-10-11T08:11:00,,,Assembler
186,3,Clock Out,2024-10-11T17:11:00,1.0,35.0,Assembler
187,4,Clock In,2024-10-11T08:18:00,,,Assembler
188,4,Clock Out,2024-10-11T16:18:00,4.0,25.0,Assembler
189,5,Clock In,2024-10-11T08:02:00,,,Assembler
190,5,Clock Out,2024-10-11T16:02:00,7.0,29.0,Assembler
191,6,Clock In,2024-10-11T08:13:00,,,Slinger
192,6,Clock Out,2024-10-11T17:13:00,3.0,17.0,Slinger
193,7,Clock In,2024-10-11T08:14:00,,,Assembler
194,7,Clock Out,2024-10-11T17:14:00,4.0,22.0,Assembler
195,9,Clock In,2024-10-11T08:02:00,,,Shuttering Carpenter
196,9,Clock Out,2024-10-11T17:02:00,5.0,3.0,Shuttering Carpenter
197,10,Clock In,2024-10-11T08:00:00,,,Steel Fixer
198,10,Clock Out,2024-10-11T16:00:00,2.0,9.0,Steel Fixer
199,3,Clock In,2024-10-12T08:10:00,,,Assembler
200,3,Clock Out,2024-10-12T15:10:00,6.0,31.0,Assembler
201,4,Clock In,2024-10-12T08:10:00,,,Assembler
202,4,Clock Out,2024-10-12T16:10:00,1.0,12.0,Assembler
203,5,Clock In,2024-10-12T08:19:00,,,Assembler
204,5,Clock Out,2024-10-12T18:19:00,2.0,23.0,Assembler
205,6,Clock In,2024-10-12T08:15:00,,,Slinger
206,6,Clock Out,2024-10-12T15:15:00,4.0,28.0,Slinger
207,7,Clock In,2024-10-12T08:03:00,,,Assembler
208,7,Clock Out,2024-10-12T17:03:00,5.0,6.0,Assembler
209,8,Clock In,2024-10-12T08:14:00,,,Assembler
210,8,Clock Out,2024-10-12T18:14:00,2.0,25.0,Assembler
211,9,Clock In,2024-10-12T08:02:00,,,Shuttering Carpenter
212,9,Clock Out,2024-10-12T16:02:00,5.0,39.0,Shuttering Carpenter
213,11,Clock In,2024-10-12T08:05:00,,,Site Manager
214,11,Clock Out,2024-10-12T16:05:00,4.0,27.0,Site Manager
215,3,Clock In,2024-10-13T08:07:00,,,Assembler
216,3,Clock Out,2024-10-13T18:07:00,7.0,4.0,Assembler
217,4,Clock In,2024-10-13T08:13:00,,,Assembler
218,4,Clock Out,2024-10-13T17:13:00,3.0,11.0,Assembler
219,5,Clock In,2024-10-13T08:06:00,,,Assembler
220,5,Clock Out,2024-10-13T15:06:00,7.0,33.0,Assembler
221,10,Clock In,2024-10-13T08:01:00,,,Steel Fixer
222,10,Clock Out,2024-10-13T16:01:00,1.0,10.0,Steel Fixer
223,1,Clock In,2024-10-14T08:20:00,,,Shuttering Carpenter
224,1,Clock Out,2024-10-14T17:20:00,6.0,17.0,Shuttering Carpenter
225,2,Clock In,2024-10-14T08:29:00,,,Slinger
226,2,Clock Out,2024-10-14T15:29:00,1.0,19.0,Slinger
227,3,Clock In,2024-10-14T08:20:00,,,Assembler
228,3,Clock Out,2024-10-14T17:20:00,3.0,10.0,Assembler
229,4,Clock In,2024-10-14T08:26:00,,,Assembler
230,4,Clock Out,2024-10-14T16:26:00,3.0,33.0,Assembler
231,7,Clock In,2024-10-14T08:18:00,,,Assembler
232,7,Clock Out,2024-10-14T15:18:00,7.0,16.0,Assembler
233,8,Clock In,2024-10-14T08:00:00,,,Assembler
234,8,Clock Out,2024-10-14T15:00:00,1.0,33.0,Assembler
235,9,Clock In,2024-10-14T08:20:00,,,Shuttering Carpenter
236,9,Clock Out,2024-10-14T18:20:00,1.0,3.0,Shuttering Carpenter
237,11,Clock In,2024-10-14T08:11:00,,,Site Manager
238,11,Clock Out,2024-10-14T16:11:00,5.0,8.0,Site Manager
239,1,Clock In,2024-10-15T08:02:00,,,Shuttering Carpenter
240,1,Clock Out,2024-10-15T16:02:00,3.0,27.0,Shuttering Carpenter
241,2,Clock In,2024-10-15T08:30:00,,,Slinger
242,2,Clock Out,2024-10-15T18:30:00,1.0,36.0,Slinger
243,3,Clock In,2024-10-15T08:18:00,,,Assembler
244,3,Clock Out,2024-10-15T15:18:00,5.0,37.0,Assembler
245,4,Clock In,2024-10-15T08:14:00,,,Assembler
246,4,Clock Out,2024-10-15T18:14:00,6.0,39.0,Assembler
247,5,Clock In,2024-10-15T08:27:00,,,Assembler
248,5,Clock Out,2024-10-15T17:27:00,7.0,23.0,Assembler
249,8,Clock In,2024-10-15T08:04:00,,,Assembler
250,8,Clock Out,2024-10-15T17:04:00,3.0,38.0,Assembler
251,9,Clock In,2024-10-15T08:12:00,,,Shuttering Carpenter
252,9,Clock Out,2024-10-15T15:12:00,6.0,28.0,Shuttering Carpenter
253,10,Clock In,2024-10-15T08:06:00,,,Steel Fixer
254,10,Clock Out,2024-10-15T16:06:00,2.0,22.0,Steel Fixer
255,11,Clock In,2024-10-15T08:07:00,,,Site Manager
256,11,Clock Out,2024-10-15T17:07:00,5.0,41.0,Site Manager
257,2,Clock In,2024-10-16T08:26:00,,,Slinger
258,2,Clock Out,2024-10-16T16:26:00,3.0,23.0,Slinger
259,3,Clock In,2024-10-16T08:09:00,,,Assembler
260,3,Clock Out,2024-10-16T15:09:00,1.0,11.0,Assembler
261,5,Clock In,2024-10-16T08:30:00,,,Assembler
262,5,Clock Out,2024-10-16T15:30:00,1.0,1.0,Assembler
263,6,Clock In,2024-10-16T08:11:00,,,Slinger
264,6,Clock Out,2024-10-16T17:11:00,7.0,7.0,Slinger
265,9,Clock In,2024-10-16T08:15:00,,,Shuttering Carpenter
266,9,Clock Out,2024-10-16T16:15:00,4.0,14.0,Shuttering Carpenter
267,10,Clock In,2024-10-16T08:01:00,,,Steel Fixer
268,10,Clock Out,2024-10-16T17:01:00,3.0,42.0,Steel Fixer
269,11,Clock In,2024-10-16T08:24:00,,,Site Manager
270,11,Clock Out,2024-10-16T17:24:00,3.0,9.0,Site Manager
271,2,Clock In,2024-10-17T08:19:00,,,Slinger
272,2,Clock Out,2024-10-17T16:19:00,3.0,13.0,Slinger
273,3,Clock In,2024-10-17T08:09:00,,,Assembler
274,3,Clock Out,2024-10-17T18:09:00,5.0,8.0,Assembler
275,4,Clock In,2024-10-17T08:10:00,,,Assembler
276,4,Clock Out,2024-10-17T18:10:00,7.0,30.0,Assembler
277,5,Clock In,2024-10-17T08:03:00,,,Assembler
278,5,Clock Out,2024-10-17T15:03:00,5.0,17.0,Assembler
279,6,Clock In,2024-10-17T08:03:00,,,Slinger
280,6,Clock Out,2024-10-17T17:03:00,7.0,39.0,Slinger
281,8,Clock In,2024-10-17T08:13:00,,,Assembler
282,8,Clock Out,2024-10-17T15:13:00,4.0,8.0,Assembler
283,10,Clock In,2024-10-17T08:15:00,,,Steel Fixer
284,10,Clock Out,2024-10-17T16:15:00,7.0,34.0,Steel Fixer
285,11,Clock In,2024-10-17T08:19:00,,,Site Manager
286,11,Clock Out,2024-10-17T17:19:00,4.0,29.0,Site Manager
287,1,Clock In,2024-10-18T08:21:00,,,Shuttering Carpenter
288,1,Clock Out,2024-10-18T15:21:00,7.0,30.0,Shuttering Carpenter
289,2,Clock In,2024-10-18T08:19:00,,,Slinger
290,2,Clock Out,2024-10-18T16:19:00,5.0,37.0,Slinger
291,3,Clock In,2024-10-18T08:08:00,,,Assembler
292,3,Clock Out,2024-10-18T17:08:00,4.0,7.0,Assembler
293,5,Clock In,2024-10-18T08:19:00,,,Assembler
294,5,Clock Out,2024-10-18T16:19:00,3.0,42.0,Assembler
295,7,Clock In,2024-10-18T08:24:00,,,Assembler
296,7,Clock Out,2024-10-18T16:24:00,1.0,27.0,Assembler
297,8,Clock In,2024-10-18T08:06:00,,,Assembler
298,8,Clock Out,2024-10-18T15:06:00,6.0,11.0,Assembler
299,9,Clock In,2024-10-18T08:30:00,,,Shuttering Carpenter
300,9,Clock Out,2024-10-18T16:30:00,4.0,7.0,Shuttering Carpenter
301,10,Clock In,2024-10-18T08:02:00,,,Steel Fixer
302,10,Clock Out,2024-10-18T18:02:00,3.0,42.0,Steel Fixer
303,11,Clock In,2024-10-18T08:30:00,,,Site Manager
304,11,Clock Out,2024-10-18T15:30:00,3.0,36.0,Site Manager
305,1,Clock In,2024-10-19T08:29:00,,,Shuttering Carpenter
306,1,Clock Out,2024-10-19T15:29:00,7.0,3.0,Shuttering Carpenter
307,2,Clock In,2024-10-19T08:21:00,,,Slinger
308,2,Clock Out,2024-10-19T15:21:00,5.0,37.0,Slinger
309,4,Clock In,2024-10-19T08:00:00,,,Assembler
310,4,Clock Out,2024-10-19T17:00:00,5.0,1.0,Assembler
311,5,Clock In,2024-10-19T08:12:00,,,Assembler
312,5,Clock Out,2024-10-19T15:12:00,5.0,9.0,Assembler
313,6,Clock In,2024-10-19T08:05:00,,,Slinger
314,6,Clock Out,2024-10-19T18:05:00,7.0,39.0,Slinger
315,8,Clock In,2024-10-19T08:01:00,,,Assembler
316,8,Clock Out,2024-10-19T16:01:00,2.0,10.0,Assembler
317,9,Clock In,2024-10-19T08:24:00,,,Shuttering Carpenter
318,9,Clock Out,2024-10-19T16:24:00,3.0,10.0,Shuttering Carpenter
319,10,Clock In,2024-10-19T08:16:00,,,Steel Fixer
320,10,Clock Out,2024-10-19T17:16:00,3.0,1.0,Steel Fixer
321,1,Clock In,2024-10-20T08:21:00,,,Shuttering Carpenter
322,1,Clock Out,2024-10-20T17:21:00,2.0,24.0,Shuttering Carpenter
323,2,Clock In,2024-10-20T08:19:00,,,Slinger
324,2,Clock Out,2024-10-20T15:19:00,6.0,19.0,Slinger
325,4,Clock In,2024-10-20T08:20:00,,,Assembler
326,4,Clock Out,2024-10-20T18:20:00,5.0,17.0,Assembler
327,5,Clock In,2024-10-20T08:17:00,,,Assembler
328,5,Clock Out,2024-10-20T16:17:00,5.0,3.0,Assembler
329,6,Clock In,2024-10-20T08:07:00,,,Slinger
330,6,Clock Out,2024-10-20T17:07:00,1.0,28.0,Slinger
331,7,Clock In,2024-10-20T08:06:00,,,Assembler
332,7,Clock Out,2024-10-20T16:06:00,4.0,15.0,Assembler
333,8,Clock In,2024-10-20T08:24:00,,,Assembler
334,8,Clock Out,2024-10-20T17:24:00,6.0,11.0,Assembler
335,10,Clock In,2024-10-20T08:25:00,,,Steel Fixer
336,10,Clock Out,2024-10-20T16:25:00,3.0,36.0,Steel Fixer
337,11,Clock In,2024-10-20T08:15:00,,,Site Manager
338,11,Clock Out,2024-10-20T15:15:00,7.0,40.0,Site Manager
339,1,Clock In,2024-10-21T08:02:00,,,Shuttering Carpenter
340,1,Clock Out,2024-10-21T17:02:00,3.0,15.0,Shuttering Carpenter
341,2,Clock In,2024-10-21T08:07:00,,,Slinger
342,2,Clock Out,2024-10-21T16:07:00,4.0,5.0,Slinger
343,4,Clock In,2024-10-21T08:18:00,,,Assembler
344,4,Clock Out,2024-10-21T17:18:00,3.0,16.0,Assembler
345,5,Clock In,2024-10-21T08:24:00,,,Assembler
346,5,Clock Out,2024-10-21T18:24:00,2.0,16.0,Assembler
347,8,Clock In,2024-10-21T08:04:00,,,Assembler
348,8,Clock Out,2024-10-21T16:04:00,2.0,41.0,Assembler
349,9,Clock In,2024-10-21T08:05:00,,,Shuttering Carpenter
350,9,Clock Out,2024-10-21T15:05:00,6.0,29.0,Shuttering Carpenter
351,10,Clock In,2024-10-21T08:16:00,,,Steel Fixer
352,10,Clock Out,2024-10-21T17:16:00,6.0,23.0,Steel Fixer
353,11,Clock In,2024-10-21T08:17:00,,,Site Manager
354,11,Clock Out,2024-10-21T18:17:00,5.0,25.0,Site Manager
355,3,Clock In,2024-10-22T08:23:00,,,Assembler
356,3,Clock Out,2024-10-22T15:23:00,4.0,36.0,Assembler
357,4,Clock In,2024-10-22T08:09:00,,,Assembler
358,4,Clock Out,2024-10-22T17:09:00,3.0,8.0,Assembler
359,5,Clock In,2024-10-22T08:26:00,,,Assembler
360,5,Clock Out,2024-10-22T16:26:00,6.0,16.0,Assembler
361,6,Clock In,2024-10-22T08:06:00,,,Slinger
362,6,Clock Out,2024-10-22T18:06:00,1.0,42.0,Slinger
363,8,Clock In,2024-10-22T08:05:00,,,Assembler
364,8,Clock Out,2024-10-22T15:05:00,6.0,30.0,Assembler
365,9,Clock In,2024-10-22T08:26:00,,,Shuttering Carpenter
366,9,Clock Out,2024-10-22T17:26:00,5.0,8.0,Shuttering Carpenter
367,10,Clock In,2024-10-22T08:23:00,,,Steel Fixer
368,10,Clock Out,2024-10-22T17:23:00,7.0,29.0,Steel Fixer
369,11,Clock In,2024-10-22T08:27:00,,,Site Manager
370,11,Clock Out,2024-10-22T18:27:00,1.0,2.0,Site Manager
371,1,Clock In,2024-10-23T08:14:00,,,Shuttering Carpenter
372,1,Clock Out,2024-10-23T17:14:00,5.0,35.0,Shuttering Carpenter
373,2,Clock In,2024-10-23T08:26:00,,,Slinger
374,2,Clock Out,2024-10-23T17:26:00,7.0,21.0,Slinger
375,4,Clock In,2024-10-23T08:25:00,,,Assembler
376,4,Clock Out,2024-10-23T16:25:00,2.0,20.0,Assembler
377,5,Clock In,2024-10-23T08:28:00,,,Assembler
378,5,Clock Out,2024-10-23T18:28:00,2.0,8.0,Assembler
379,6,Clock In,2024-10-23T08:21:00,,,Slinger
380,6,Clock Out,2024-10-23T15:21:00,6.0,23.0,Slinger
381,7,Clock In,2024-10-23T08:11:00,,,Assembler
382,7,Clock Out,2024-10-23T15:11:00,1.0,42.0,Assembler
383,10,Clock In,2024-10-23T08:29:00,,,Steel Fixer
384,10,Clock Out,2024-10-23T17:29:00,2.0,36.0,Steel Fixer
385,11,Clock In,2024-10-23T08:28:00,,,Site Manager
386,11,Clock Out,2024-10-23T18:28:00,7.0,10.0,Site Manager
387,1,Clock In,2024-10-24T08:11:00,,,Shuttering Carpenter
388,1,Clock Out,2024-10-24T17:11:00,5.0,2.0,Shuttering Carpenter
389,2,Clock In,2024-10-24T08:18:00,,,Slinger
390,2,Clock Out,2024-10-24T16:18:00,6.0,16.0,Slinger
391,3,Clock In,2024-10-24T08:29:00,,,Assembler
392,3,Clock Out,2024-10-24T18:29:00,7.0,24.0,Assembler
393,4,Clock In,2024-10-24T08:04:00,,,Assembler
394,4,Clock Out,2024-10-24T15:04:00,1.0,4.0,Assembler
395,5,Clock In,2024-10-24T08:00:00,,,Assembler
396,5,Clock Out,2024-10-24T18:00:00,5.0,27.0,Assembler
397,6,Clock In,2024-10-24T08:30:00,,,Slinger
398,6,Clock Out,2024-10-24T16:30:00,7.0,16.0,Slinger
399,8,Clock In,2024-10-24T08:17:00,,,Assembler
400,8,Clock Out,2024-10-24T15:17:00,1.0,29.0,Assembler
401,10,Clock In,2024-10-24T08:00:00,,,Steel Fixer
402,10,Clock Out,2024-10-24T16:00:00,4.0,30.0,Steel Fixer
403,11,Clock In,2024-10-24T08:08:00,,,Site Manager
404,11,Clock Out,2024-10-24T16:08:00,7.0,22.0,Site Manager
405,2,Clock In,2024-10-25T08:23:00,,,Slinger
406,2,Clock Out,2024-10-25T16:23:00,3.0,19.0,Slinger
407,3,Clock In,2024-10-25T08:20:00,,,Assembler
408,3,Clock Out,2024-10-25T16:20:00,6.0,38.0,Assembler
409,4,Clock In,2024-10-25T08:07:00,,,Assembler
410,4,Clock Out,2024-10-25T15:07:00,6.0,11.0,Assembler
411,6,Clock In,2024-10-25T08:07:00,,,Slinger
